NOPD_Item,Type,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
A0722126,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3696511,524009,2026-01-08T02:45:43.977000,2026-01-08T03:11:45.753000,2026-01-08T23:04:22.367000,2026-01-09T01:06:46.670000,NAT,Necessary Action Taken,N,4J02,033XX Wall Blvd,70114,4,POINT (-90.02094002 29.93437875)
A0761726,58,RETURN FOR ADDITIONAL INFO,1,58,RETURN FOR ADDITIONAL INFO,0,3686633,535201,2026-01-08T12:29:40.583000,2026-01-09T08:56:13.190000,2026-01-09T09:13:33.663000,2026-01-09T09:14:47.577000,GOA,GONE ON ARRIVAL,N,5B01,007XX St Roch Av,70117,5,POINT (-90.05173 29.96546039)
A0761926,67F,THEFT BY FRAUD,1,67F,THEFT BY FRAUD,1F,3727017,560371,2026-01-08T12:31:04.287000,,2026-01-08T20:15:18.093000,2026-01-09T01:15:21.813000,GOA,GONE ON ARRIVAL,N,7L02,137XX Chef Menteur Hwy,70129,7,POINT (-89.92322431 30.0333654)
A0763926,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3678778,528099,2026-01-08T12:51:13.740000,,2026-01-08T12:51:13.740000,2026-01-08T17:40:44.610000,RTF,REPORT TO FOLLOW,Y,8H03,Loyola Av & Howard Av,70113,8,POINT (-90.07678133 29.94617222)
A0775026,58,RETURN FOR ADDITIONAL INFO,1I,63,PROWLER,2E,3678389,524468,2026-01-08T14:44:45.827000,,2026-01-08T14:44:45.827000,2026-01-08T20:23:47.423000,NAT,Necessary Action Taken,Y,6G01,018XX St Charles Av,70130,6,POINT (-90.07813708 29.93620024)
A0778926,58,RETURN FOR ADDITIONAL INFO,1,58,RETURN FOR ADDITIONAL INFO,0,3686634,535236,2026-01-08T15:17:18.503000,,,2026-01-08T20:27:29.850000,DUP,DUPLICATE,N,5B01,007XX St Roch Av,70117,5,POINT (-90.05172582 29.96555735)
A0787526,35,SIMPLE BATTERY,1F,103,DISTURBANCE (OTHER),1C,3689032,533171,2026-01-08T16:43:42.263000,2026-01-08T19:32:24.997000,2026-01-08T19:40:25.367000,2026-01-08T22:38:51.073000,RTF,REPORT TO FOLLOW,N,5C04,003XX Blk Johnny Jackson Jr Blvd,None,5,POINT (-90.0442257 29.95980506)
A0789226,103D,DOMESTIC DISTURBANCE,1A,103D,DOMESTIC DISTURBANCE,2C,3699067,531772,2026-01-08T17:06:01.230000,2026-01-09T08:32:31.117000,2026-01-09T08:53:27.370000,2026-01-09T08:57:20.100000,RTF,REPORT TO FOLLOW,N,5E04,061XX Royal St,70117,5,POINT (-90.01258881 29.95564403)
A0791126,18A,ABANDONED VEHICLE,1,21,COMPLAINT OTHER,1F,3692377,533624,2026-01-08T17:29:27.740000,2026-01-09T08:57:29.867000,2026-01-09T09:19:03.253000,2026-01-09T09:19:38.140000,GOA,GONE ON ARRIVAL,N,5D01,007XX Lesseps St,70117,5,POINT (-90.03364744 29.96094848)
A0794726,67C,THEFT FROM EXTERIOR OF VEHICLE,1G,62C,SIMPLE BURGLARY VEHICLE,1C,3714990,561371,2026-01-08T18:03:40.387000,,2026-01-08T18:28:57.333000,2026-01-08T20:11:15.090000,RTF,REPORT TO FOLLOW,N,7I05,111XX Winchester Park Dr,70128,7,POINT (-89.96119201 30.03651759)
A0794926,MISC,MISCELLANEOUS COMPLAINT,1,66,EXTORTION (THREATS),1H,3676041,540021,2026-01-08T18:06:19.487000,2026-01-09T10:57:02.210000,2026-01-09T11:01:34.863000,2026-01-09T13:20:14.383000,RTF,REPORT TO FOLLOW,N,1N02,032XX De Soto St,70119,1,POINT (-90.08501432 29.97903629)
